comuna,region,año,mes,poblacion,ingreso_promedio,temperatura_promedio,precipitacion_mm,consumo_m3
Quillota,Valparaíso,2021,7,238419,708002.1731489857,17.18456435254538,264.01317588373973,15.85
Quillota,Valparaíso,2021,8,236254,722625.8974593513,16.116246390518125,291.9731644852118,18.14
Quillota,Valparaíso,2021,9,234822,749280.9677408063,12.84731036022562,24.76638464684305,15.3
Quillota,Valparaíso,2021,10,237419,686630.4240508184,14.923445794824952,4.245063814781865,14.11
Quillota,Valparaíso,2021,11,234956,754082.5513847632,13.290233108902845,74.59468719217732,13.36
Quillota,Valparaíso,2021,12,234606,732317.4529199977,14.588145488955233,68.69005622932272,14.15
Quillota,Valparaíso,2022,1,235773,703239.8461665718,18.181359223253573,0.0,14.88
Quillota,Valparaíso,2022,2,236017,716653.1539387114,16.295608368397225,5.91779280025591,16.01
Quillota,Valparaíso,2022,3,233711,732975.1961327039,21.181895110261564,0.0,16.34
Quillota,Valparaíso,2022,4,234282,715838.4083712286,22.177544724769582,4.9642207061485255,14.48
Quillota,Valparaíso,2022,5,235822,682563.9317106336,22.634038203218296,0.0,17.5
Quillota,Valparaíso,2022,6,233863,716281.0773931433,19.892249715753625,231.19507825803265,13.95
Quillota,Valparaíso,2022,7,236649,702254.4622416123,17.280532340555258,268.8021438442129,16.37
Quillota,Valparaíso,2022,8,236567,712652.2432464076,13.857660320233297,278.7273148323662,13.26
Quillota,Valparaíso,2022,9,236940,697964.0564661943,13.3637352705842,5.472749848507284,14.65
Quillota,Valparaíso,2022,10,234960,733674.0058633157,12.229617061283877,0.0,15.82
Quillota,Valparaíso,2022,11,236716,734493.297218695,13.897119981263128,47.26359246687434,16.85
Quillota,Valparaíso,2022,12,233940,722005.5621658894,16.066718830054324,18.923317864633415,15.02
Quillota,Valparaíso,2023,1,237088,737083.3223481025,16.49875386176652,87.56745762767909,16.34
Quillota,Valparaíso,2023,2,234446,750756.9115499696,18.024619764830664,63.3675668848643,15.08
Quillota,Valparaíso,2023,3,237510,699129.1883730717,20.653429922430128,29.929481167914577,17.45
Quillota,Valparaíso,2023,4,236691,745483.886443393,20.61722481782168,0.0,15.04
Quillota,Valparaíso,2023,5,238001,699528.2610999017,20.37111882354825,9.05149329933788,15.9
Quillota,Valparaíso,2023,6,233941,725436.6252847649,18.603161779255355,242.94050603484536,16.03
Quillota,Valparaíso,2023,7,234694,761639.1874450656,18.67867467337257,147.49835395381206,15.51
Quillota,Valparaíso,2023,8,238066,771471.363759854,15.006464187197595,212.6864080921917,13.35
Quillota,Valparaíso,2023,9,236324,733035.9250181589,13.356081753482206,46.40303124360371,15.09
Quillota,Valparaíso,2023,10,234910,697612.8129785436,12.84103046073012,5.76272298270041,15.03
Quillota,Valparaíso,2023,11,234700,710330.164993423,12.672863477779256,0.0,13.49
Quillota,Valparaíso,2023,12,238440,755231.4767302722,16.21215868855033,11.63772970418307,15.1
Quillota,Valparaíso,2024,1,235684,696714.9341483869,17.2943411876184,94.72933827954846,16.36
Quillota,Valparaíso,2024,2,236416,769601.05327782,20.55878918449689,0.0,15.94
Quillota,Valparaíso,2024,3,233937,709075.3878479487,19.581642566905504,0.0,16.35
Quillota,Valparaíso,2024,4,234860,770968.7129031245,21.11959867821745,0.0,17.86
Quillota,Valparaíso,2024,5,237319,690484.5309333531,20.25791681451199,3.2185095158891173,16.67
Quillota,Valparaíso,2024,6,236294,726089.6859930229,20.07036516022993,270.6646013968565,15.33
Quillota,Valparaíso,2024,7,236838,735265.5459020494,17.066592571751666,120.27051691820856,15.96
Quillota,Valparaíso,2024,8,238260,746194.9926467971,16.785871124304116,241.52461748676404,15.09
Quillota,Valparaíso,2024,9,236751,715990.4331271314,13.924274114092414,34.43420840648787,14.92
Quillota,Valparaíso,2024,10,236842,715169.2530371303,13.625148863510391,54.293179682807626,13.93
Quillota,Valparaíso,2024,11,234100,757514.4565176215,11.6739482499882,49.4710018688279,14.14
Quillota,Valparaíso,2024,12,233705,774608.9917438553,13.84793833973506,54.805262379777794,14.99
San Antonio,Valparaíso,2020,1,245789,618790.6512187816,15.4571967817571,27.203164873708925,13.24
San Antonio,Valparaíso,2020,2,246625,629106.5696983872,17.019849540945014,8.871295180009831,14.09
San Antonio,Valparaíso,2020,3,246124,604241.6682131672,21.80190807056454,0.0,15.99
San Antonio,Valparaíso,2020,4,247770,618926.0357119578,20.153640280113027,0.0,16.07
San Antonio,Valparaíso,2020,5,245689,585782.170517824,21.139510734068796,11.275742027428622,15.18
San Antonio,Valparaíso,2020,6,245505,571221.7532451082,20.28409579394812,122.09202979674733,14.64
San Antonio,Valparaíso,2020,7,249419,647866.096763155,17.06267605016198,232.40621836604936,14.78
San Antonio,Valparaíso,2020,8,245399,587352.4111729956,15.01087875820223,257.41004708643,13.53
San Antonio,Valparaíso,2020,9,249358,639009.1883718536,13.336231958724849,0.0,13.97
San Antonio,Valparaíso,2020,10,247975,643246.597974388,13.11053531747394,15.615783000257895,10.38
San Antonio,Valparaíso,2020,11,247492,650841.0944973942,13.279557706489754,18.6394165409252,11.74
San Antonio,Valparaíso,2020,12,246796,622414.0758185094,14.679537450240357,36.95192917311104,12.19
San Antonio,Valparaíso,2021,1,246931,628985.2590933292,17.41857668266008,14.663722512280229,14.82
San Antonio,Valparaíso,2021,2,248926,663060.6452525882,19.15028863157677,99.82674909563325,14.69
San Antonio,Valparaíso,2021,3,246343,666945.1449413379,20.4017322757011,11.688272931894218,15.97
San Antonio,Valparaíso,2021,4,247094,610462.9062491731,20.09957077453551,43.38536611811919,16.52
San Antonio,Valparaíso,2021,5,245922,661326.8772472641,19.98950264653397,1.2473058011240497,15.83
San Antonio,Valparaíso,2021,6,246669,650367.7670053014,18.639968503005043,245.04826132704676,15.05
San Antonio,Valparaíso,2021,7,246522,671864.7982833481,16.6074782950712,205.812174346234,15.63
San Antonio,Valparaíso,2021,8,248783,679861.3692091772,16.10501843885161,319.11613717429185,14.84
San Antonio,Valparaíso,2021,9,248474,622453.7317601712,14.256991181348342,24.104413129213278,13.79
San Antonio,Valparaíso,2021,10,249517,591558.7559974445,13.93957941235518,2.1790924563644865,12.46
San Antonio,Valparaíso,2021,11,247308,686167.2748200195,15.058195948206729,37.89478170404027,15.18
San Antonio,Valparaíso,2021,12,249842,649893.0685761868,15.779029867630127,0.0,16.74
San Antonio,Valparaíso,2022,1,248494,639149.9668541398,16.750025081361926,29.66953855483578,14.88
San Antonio,Valparaíso,2022,2,247505,593793.5833768917,19.508608373233443,4.261802082113974,15.06
San Antonio,Valparaíso,2022,3,249996,630162.4714195433,19.70761594866472,34.946981229007065,14.52
San Antonio,Valparaíso,2022,4,245568,621339.3190358462,21.81442489861659,101.9851918887164,15.01
San Antonio,Valparaíso,2022,5,250208,595056.8506927876,19.32202337604337,23.19100443433192,12.54
San Antonio,Valparaíso,2022,6,248611,632003.9699378902,18.80307819200311,205.00752229936592,12.88
San Antonio,Valparaíso,2022,7,247116,616971.779807876,17.22342364224679,213.52516127750303,13.85
San Antonio,Valparaíso,2022,8,246634,657061.8706820235,13.278824174710277,203.5178668126154,14.99
San Antonio,Valparaíso,2022,9,249201,574160.6517711455,14.676211799864856,135.9260600470369,12.79
San Antonio,Valparaíso,2022,10,245766,579309.9211880136,11.338916584432829,66.1133328366817,12.91
San Antonio,Valparaíso,2022,11,249027,675212.1817118512,12.73109963628736,63.760718123491046,14.61
San Antonio,Valparaíso,2022,12,247738,641037.9799094809,14.952316864758773,17.363088277315484,14.25
San Antonio,Valparaíso,2023,1,248002,624668.203883674,14.963779497144063,37.00840023863353,12.23
San Antonio,Valparaíso,2023,2,250089,618310.8976687373,18.59232238842551,0.0,14.12
San Antonio,Valparaíso,2023,3,247031,620641.8438703811,21.113532081340814,39.93056214473312,16.17
San Antonio,Valparaíso,2023,4,247424,611389.67694084,20.999443704245166,0.0,16.91
San Antonio,Valparaíso,2023,5,249818,627770.5067421446,20.560777736277984,5.360366753077317,14.69
San Antonio,Valparaíso,2023,6,245406,623869.8671492483,17.957460552517116,190.0050887786085,14.68
San Antonio,Valparaíso,2023,7,248690,600571.8764387465,20.092641278462683,161.14438682806525,16.47
San Antonio,Valparaíso,2023,8,249177,650172.9437865514,13.950174466481869,230.86658697834432,15.8
San Antonio,Valparaíso,2023,9,249810,613738.0216061228,12.92842609724194,25.040242000673278,12.03
San Antonio,Valparaíso,2023,10,249521,648788.1584764202,13.462742716704302,0.0,14.37
San Antonio,Valparaíso,2023,11,247137,638916.9127796144,12.138746078314094,92.46637273290511,13.55
San Antonio,Valparaíso,2023,12,245690,643077.6309261249,16.08005605913931,69.4713723881851,16.11
San Antonio,Valparaíso,2024,1,246318,617357.274988844,17.352290444166286,0.0,14.86
